车型名称,最低价格至最高价格,产品图片链接
"
                                        朗逸
                                    ","
                                        
                                        9.99-16.19万
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20191203/135/0340111354_6.jpg
"
                                        宝来
                                    ","
                                        
                                        9.88-15.60万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20190102/242/0319542422_6.png
"
                                        速腾
                                    ","
                                        
                                        12.89-19.19万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20190122/561/1056225614_6.png
"
                                        桑塔纳
                                    ","
                                        
                                        8.69-11.59万
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20190102/343/0954043434_6.png
"
                                        奥迪A4L
                                    ","
                                        
                                        30.58-39.68万
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20200330/650/0549086506_6.jpg
"
                                        迈腾
                                    ","
                                        
                                        18.61-30.99万
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20191218/868/1119248681_6.jpg
"
                                        探岳
                                    ","
                                        
                                        18.59-31.39万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20191203/330/0341563309_6.jpg
"
                                        奥迪A6L
                                    ","
                                        
                                        40.98-65.38万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20190102/447/0320224472_6.png
"
                                        奥迪Q5L
                                    ","
                                        
                                        38.78-49.80万
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20191203/577/0341295778_6.jpg
"
                                        捷达VS7
                                    ","
                                        
                                        10.68-13.68万
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20191226/905/0432589054_6.jpg
"
                                        凌渡
                                    ","
                                        
                                        14.29-19.69万
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20190102/771/0331377716_6.png
"
                                        途岳
                                    ","
                                        
                                        16.58-22.38万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20190114/700/0426047002_6.png
"
                                        捷达VS5
                                    ","
                                        
                                        8.48-11.28万
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20190822/821/0822158218_6.jpg
"
                                        高尔夫
                                    ","
                                        
                                        14.13-23.42万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20180802/560/0312155601_6.jpg
"
                                        帕萨特
                                    ","
                                        
                                        18.49-28.29万
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20190122/686/0929086865_6.png
"
                                        奥迪A3
                                    ","
                                        
                                        18.92-25.27万
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20190104/596/1156395964_6.png
"
                                        途观L
                                    ","
                                        
                                        21.88-31.18万
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20190104/175/0310091757_6.png
"
                                        途昂
                                    ","
                                        
                                        29.99-50.59万
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20190102/298/0407052987_6.png
"
                                        途铠
                                    ","
                                        
                                        11.49-15.99万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20190314/804/0324388049_6.png
"
                                        奥迪Q3
                                    ","
                                        
                                        27.18-36.18万
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20190416/918/0333509185_6.png
"
                                        探歌
                                    ","
                                        
                                        13.58-20.38万
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20190102/642/1013046423_6.png
"
                                        捷达VA3
                                    ","
                                        
                                        6.58-9.28万
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20200227/599/0511135996_6.jpg
"
                                        一汽-大众CC
                                    ","
                                        
                                        24.68-30.18万
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20190102/268/0322402685_6.png
"
                                        途观
                                    ","
                                        
                                        19.48-23.18万
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20181213/999/0143029995_6.jpg
"
                                        探影
                                    ","
                                        
                                        11.49-15.99万
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20191028/545/1021325456_6.jpg
"
                                        明锐
                                    ","
                                        
                                        9.99-16.14万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20181218/557/0455285570_6.png
"
                                        途锐
                                    ","
                                        
                                        56.98-82.18万
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20180911/623/0542406239_6.png
"
                                        探岳X
                                    ","
                                        
                                        23.58-29.58万
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20200619/889/0415468894_6.jpg
"
                                        Polo
                                    ","
                                        
                                        9.99-12.39万
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20190624/639/0943156395_6.jpg
"
                                        奥迪Q2L
                                    ","
                                        
                                        21.88-26.85万
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20181218/424/0504034246_6.png
"
                                        柯米克
                                    ","
                                        
                                        8.99-12.59万
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20191122/396/0129333964_6.jpg
"
                                        途昂X
                                    ","
                                        
                                        28.99-43.99万
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20190416/056/1215330566_6.jpg
"
                                        辉昂
                                    ","
                                        
                                        34.00-63.90万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20190102/382/0958523823_6.png
"
                                        速派
                                    ","
                                        
                                        15.49-22.99万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20190715/977/0600169772_6.jpg
"
                                        威然
                                    ","
                                        
                                        28.68-39.98万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20200417/884/0409028847_6.jpg
"
                                        柯迪亚克
                                    ","
                                        
                                        17.79-24.79万
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20181218/521/0519135211_6.png
"
                                        柯珞克
                                    ","
                                        
                                        12.99-15.99万
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20181218/799/0526387997_6.png
"
                                        途安L
                                    ","
                                        
                                        15.18-19.48万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20190102/868/0957468688_6.png
"
                                        昕锐
                                    ","
                                        
                                        7.34-10.64万
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20200213/696/0827076965_6.jpg
"
                                        蔚领
                                    ","
                                        
                                        12.59-14.97万
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20181015/661/0702536610_6.png
"
                                        甲壳虫
                                    ","
                                        
                                        17.88-25.58万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20180802/414/1155234146_6.png
"
                                        高尔夫・嘉旅
                                    ","
                                        
                                        12.88-19.28万
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20190114/038/0417080388_6.png
"
                                        柯迪亚克GT
                                    ","
                                        
                                        17.99-24.79万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20181022/310/1120173107_6.png
"
                                        高尔夫(进口)
                                    ","
                                        
                                        20.98-37.28万
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20190322/481/0305294819_6.png
"
                                        帕萨特 插电混动
                                    ","
                                        
                                        24.39-25.39万
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20190122/077/0932250776_6.png
"
                                        昕动
                                    ","
                                        
                                        7.14-10.99万
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20200312/677/0441496778_6.jpg
"
                                        Tiguan
                                    ","
                                        
                                        23.98-35.08万
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20180802/160/0459231608_6.png
"
                                        途观L 插电混动
                                    ","
                                        
                                        26.58-32.58万
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20180927/073/0409530731_6.png
"
                                        探岳GTE 插电混动
                                    ","
                                        
                                        24.98-25.98万
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20200414/529/0201435292_6.jpg
"
                                        蔚揽
                                    ","
                                        
                                        24.38-39.28万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20181010/893/0543208937_6.png
"
                                        奥迪A6L 插电混动
                                    ","
                                        
                                        50.80万
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20191017/244/1028522449_6.jpg
"
                                        晶锐
                                    ","
                                        
                                        6.99-10.99万
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20190122/134/0930141345_6.png
"
                                        朗逸纯电
                                    ","
                                        
                                        14.89万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20190326/692/0551096920_6.png
"
                                        奥迪Q2L 纯电动
                                    ","
                                        
                                        22.68-23.73万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20191118/437/1145554373_6.jpg
"
                                        迈特威
                                    ","
                                        
                                        42.80-50.68万
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20190305/656/0517366561_6.png
"
                                        迈腾GTE 插电混动
                                    ","
                                        
                                        25.39-26.89万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20200102/851/0312518518_6.jpg
"
                                        夏朗
                                    ","
                                        
                                        24.68-34.38万
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20180802/637/1155526374_6.png
"
                                        凯路威
                                    ","
                                        
                                        35.50-38.20万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20180810/466/1203504668_6.png
"
                                        宝来・纯电
                                    ","
                                        
                                        13.68-14.68万
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20190322/458/0327234589_6.png
"
                                        高尔夫・纯电
                                    ","
                                        
                                        14.77-16.88万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20190322/261/0301332617_6.png
"
                                        蔚揽 插电混动
                                    ","
                                        
                                        30.18万
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20181218/969/1159409695_6.png
"
                                        高尔夫 纯电动(进口)
                                    ","
                                        
                                        24.08万
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20200415/621/0223256216_6.jpg
"
                                        思皓E20X
                                    ","
                                        
                                        12.80-13.80万
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20180531/412/0351564124_6.jpg
"
                                        大众e-up！
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20191224/721/0522147210_6.jpg
"
                                        大众XL
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20200527/163/0646561636_6.jpg
"
                                        大众California
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20200527/987/0648169877_6.jpg
"
                                        大众Fox
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20200529/601/1050096012_6.jpg
"
                                        一汽-大众SMV
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20200402/373/0503103733_6.jpg
"
                                        大众ID.3
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20190910/696/0440206963_6.jpg
"
                                        大众ID.4(海外)
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20200303/307/0542443073_6.jpg
"
                                        大众Atlas
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20200207/288/0620472884_6.jpg
"
                                        上汽大众ID.
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20200618/833/0614338331_6.jpg
"
                                        大众ID.
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20200527/869/0648538699_6.jpg
"
                                        大众Up!Lite
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20200529/167/1107141671_6.jpg
"
                                        大众MOIA
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20200529/924/1046089247_6.jpg
"
                                        大众ID.4
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20200617/722/0607237223_6.jpg
"
                                        Arteon
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20200624/083/0244490838_6.jpg
"
                                        Bulli
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20200529/414/1105574140_6.jpg
"
                                        Virtus
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20200529/793/1110187936_6.jpg
"
                                        Polo(海外)
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20190624/498/0943064989_6.jpg
"
                                        大众I.D.R Pikes Peak
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20200525/349/0601083496_6.jpg
"
                                        Passat
                                    ","
                                        
                                        停售
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20191127/943/0211329433_6.jpg
"
                                        Taigun
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20200204/495/0612584956_6.jpg
"
                                        开迪(海外)
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20200221/980/0506119805_6.jpg
"
                                        Nivus
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20200529/624/1132326249_6.jpg
"
                                        途安(海外)
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20200527/758/0646107580_6.jpg
"
                                        Tarok
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20200527/642/0647586424_6.jpg
"
                                        高尔(海外)
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20200527/621/0649196214_6.jpg
"
                                        Pickup
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20200529/522/1058455228_6.jpg
"
                                        Saveiro
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20200529/854/1105148548_6.jpg
"
                                        Transporter
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20200529/648/1105376481_6.jpg
"
                                        Routan
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20200529/336/1106333363_6.jpg
"
                                        Tristar
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20200529/239/1108022390_6.jpg
"
                                        Milano
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20200529/034/1108210345_6.jpg
"
                                        Crafter
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20200529/385/1108463855_6.jpg
"
                                        Buggy Up
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20200529/097/1107410976_6.jpg
"
                                        Ameo
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20200529/725/1058287256_6.jpg
"
                                        Jetta
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20200529/069/1047470697_6.jpg
"
                                        途观X
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20200722/882/0311498828_6.jpg
"
                                        途锐 插电混动
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20190528/026/0617560266_6.jpg
"
                                        T-ROC(海外)
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20190814/511/0508315113_6.jpg
"
                                        ID. Space Vizzion
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20191121/587/0255015874_6.jpg
"
                                        途岳纯电
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20191217/922/0225269225_6.jpg
"
                                        ID. BUGGY
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20200313/223/0342482237_6.jpg
"
                                        e-Bulli
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20200327/258/0718242584_6.jpg
"
                                        ID.BUZZ
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20200527/449/0646344493_6.jpg
"
                                        C Coupe
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20200527/161/0647181619_6.jpg
"
                                        Sport Coupe
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20200527/970/0647399708_6.jpg
"
                                        BlueSport
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20200527/221/0648372213_6.jpg
"
                                        Sedric
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20200529/284/1110362845_6.jpg
"
                                        CrossBlue
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20200529/758/1110007587_6.jpg
"
                                        Cross Coupe
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20200527/960/0650119605_6.jpg
"
                                        ID.CROZZ
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20200529/484/1045044849_6.jpg
"
                                        ID.VIZZION
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20200529/048/1045160483_6.jpg
"
                                        Space Up
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img3.bitautoimg.com/autoalbum/files/20200529/124/1046311241_6.jpg
"
                                        Nils
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20200529/980/1046529802_6.jpg
"
                                        BUDD-e
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20200529/826/1047088261_6.jpg
"
                                        e-Co-Motion
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20200529/378/1047283780_6.jpg
"
                                        ID.ROOMZZ
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20200529/618/1045276182_6.jpg
"
                                        VISION GT
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20190603/782/0949037827_6.jpg
"
                                        T-Cross(海外)
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20190611/997/1122149973_6.jpg
"
                                        e-Beetle
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20190909/445/0424564452_6.jpg
"
                                        T-Prime
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20200529/137/1045471377_6.jpg
"
                                        Passat 插电混动
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20200410/098/0400030985_6.jpg
"
                                        思皓E40X
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20200724/312/0146573124_6.jpg
"
                                        奥迪Q4
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img4.bitautoimg.com/autoalbum/files/20190625/464/0404174642_6.jpg
"
                                        思皓E50A
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20200724/181/0147081814_6.jpg
"
                                        奥迪e-tron
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img1.bitautoimg.com/autoalbum/files/20200518/075/0648420757_6.jpg
"
                                        明锐(进口)
                                    ","
                                        
                                            未上市
                                        
                                    ",http://img2.bitautoimg.com/autoalbum/files/20191112/620/1032036208_6.jpg
